spanish,english,context
carga,charge,Physics > Mechanics
carga,charge,Physics > Electro-magnetism
carga, electric charge,Physics > Electro-magnetism
carga, electrical charge,Physics > Electro-magnetism
carga,charge,Chemistry > Analytical chemistry
carga eléctrica,electric charge,Physics > Aplied Physics
carga eléctrica,electric charge,Technological Sciences > Electronic technology
carga eléctrica, electrical charge,Technological Sciences > Electronic technology
carga eléctrica,charge,Physics > Electro-magnetism
carga eléctrica, electric charge,Physics > Electro-magnetism
carga eléctrica, electrical charge,Physics > Electro-magnetism
carga eléctrica,electric charge,Chemistry > Physical chemistry
carga eléctrica,electric charge,Technological Sciences > Environmental technology and engineering
carga eléctrica, electrical charge,Technological Sciences > Environmental technology and engineering
carga eléctrica,electric load,Technological Sciences > Electrical technology and engineering
carga eléctrica, electrical load,Technological Sciences > Electrical technology and engineering
carga eléctrica,electric charge,Medical Sciences > Pharmaceutical Technology
carga eléctrica,electric charge,Physics > General Physics specialities
carga total,total load,Technological Sciences > Environmental technology and engineering
carga total,total charge,Physics > Electro-magnetism
carrera,stroke,Technological Sciences > Mechanical engineering and technology
carrera,race,Technological Sciences > Computer technology
catálogo,catalog,Technological Sciences > Computer technology
catálogo,catalogue,Technological Sciences > Projects
caudal,flow rate,Physics > General Physics specialities
caudal,flow,Technological Sciences > Environmental technology and engineering
caudal, flow rate,Technological Sciences > Environmental technology and engineering
caudal, flowrate,Technological Sciences > Environmental technology and engineering
caudal,flow,Medical Sciences > Pharmaceutical Technology
caudal,flow,Physics > Mechanics
caudal,flow,Physics > Fluids (physics of)
caudal,flow,Physics > Electro-magnetism
cebador,primer,Life sciences > Biochemistry and Molecular Biology
cebador,starter,Technological Sciences > Electrical technology and engineering
celosía,lattice,Technological Sciences > Mechanical engineering and technology
celosía,truss,Technological Sciences > Construction technology
central eléctrica,electric plant,Technological Sciences > Environmental technology and engineering
central eléctrica,electric power plant,Technological Sciences > Electrical technology and engineering
central eléctrica, electric power station,Technological Sciences > Electrical technology and engineering
central eléctrica, power station,Technological Sciences > Electrical technology and engineering
centro,center,Physics > Aplied Physics
centro, centre,Physics > Aplied Physics
centro,symmetry center,Technological Sciences > Industrial technology
centro,center,Physics > Electro-magnetism
centro, symmetry center,Physics > Electro-magnetism
centro,center,Medical Sciences > Pharmacology
centro,center,Mathematics > Algebra
centro, centre,Mathematics > Algebra
centro,center,Mathematics > Analysis and functional analysis
centro, centre,Mathematics > Analysis and functional analysis
centro activo,active centre,Life sciences > Cell biology
centro activo,active site,Life sciences > Biochemistry and Molecular Biology
centro de curvatura,curvature centre,Technological Sciences > Mechanical engineering and technology
centro de curvatura,curvature centre,Physics > Optics
centro de curvatura,center of curvature,Physics > Fluids (physics of)
cerramiento,infilling,Technological Sciences > Construction technology
cerramiento,closing device,Technological Sciences > Environmental technology and engineering
cerramiento, closure,Technological Sciences > Environmental technology and engineering
chapa,plate,Technological Sciences > Industrial technology
chapa, sheet,Technological Sciences > Industrial technology
chapa,sheet metal,Technological Sciences > Mechanical engineering and technology
chapa,sheet,Technological Sciences > Electrical technology and engineering
chapa,plate,Physics > Fluids (physics of)
chapa, sheet,Physics > Fluids (physics of)
chapa,plate,Physics > Electro-magnetism
chapa, sheet,Physics > Electro-magnetism
chaveta,cotter,Technological Sciences > Industrial technology
chaveta, key,Technological Sciences > Industrial technology
chaveta,taper key,Technological Sciences > Mechanical engineering and technology
chaveta,key,Technological Sciences > Electrical technology and engineering
chavetero,key seat,Technological Sciences > Industrial technology
chavetero, keyway,Technological Sciences > Industrial technology
chavetero,hub keyway,Technological Sciences > Mechanical engineering and technology
chavetero, shaft keyseat,Technological Sciences > Mechanical engineering and technology
cheque,check,Economic Sciences > General economics
cheque,bank check,Economic Sciences > Organization and management of enterprises
cheque, check,Economic Sciences > Organization and management of enterprises
chimenea,chimney,Technological Sciences > Chemical technology and engineering
chimenea,conduit,Earth and Space Sciences > Geology
chimenea,chimney,Technological Sciences > Environmental technology and engineering
chimenea, neck,Technological Sciences > Environmental technology and engineering
chimenea, smokestack,Technological Sciences > Environmental technology and engineering
ciclo,cycle,Economic Sciences > Econometrics
ciclo,cicle,Physics > Thermodynamics
ciclo,cycle,Physics > Aplied Physics
ciclo, loop,Physics > Aplied Physics
ciclo,cycle,Technological Sciences > Telecommunications technology
ciclo,cycle,Mathematics > Algebra
ciclo,cycle,Technological Sciences > Computer technology
ciclo, loop,Technological Sciences > Computer technology
ciclo,cycle,Medical Sciences > Pharmaceutical Technology
ciclo,cycle,Technological Sciences > Instrumentation technology
cierre,close down,Technological Sciences > Environmental technology and engineering
cierre, closing,Technological Sciences > Environmental technology and engineering
cierre,closure,Medical Sciences > Pharmaceutical Technology
cierre, lock,Medical Sciences > Pharmaceutical Technology
cima,summit,Technological Sciences > Construction technology
cima,summit,Technological Sciences > Environmental technology and engineering
cima,top,Technological Sciences > Computer technology
claridad,brightness,Medical Sciences > Medical diagnostic and Treatment Technology
claridad,lightness,Technological Sciences > Environmental technology and engineering
claridad, luminosity,Technological Sciences > Environmental technology and engineering
clase,class,Mathematics > Algebra
clase,class,Technological Sciences > Computer technology
clase,clase,Medical Sciences > Microbiology
clave,keystone,Technological Sciences > Construction technology
clave,key,Technological Sciences > Computer technology
clavija,pin,Technological Sciences > Mechanical engineering and technology
clavija,cotter pin,Technological Sciences > Industrial technology
clavija, dowel,Technological Sciences > Industrial technology
cliente,client,Technological Sciences > Projects
cliente, customer,Technological Sciences > Projects
cliente,client,Economic Sciences > Organization and management of enterprises
cliente, customer,Economic Sciences > Organization and management of enterprises
cliente,consumer,Technological Sciences > Electrical technology and engineering
cliente, customer,Technological Sciences > Electrical technology and engineering
cliente,client,Economic Sciences > General economics
cliente, customer,Economic Sciences > General economics
cliente,client,Technological Sciences > Computer technology
cliente, client program,Technological Sciences > Computer technology
cloruro,clorure,Chemistry > Analytical chemistry
cloruro,klorure,Medical Sciences > Pharmaceutical Technology
cloruro,chloride,Technological Sciences > Environmental technology and engineering
coco,cocco,Medical Sciences > Pharmacology
